file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,historical,1995,0800,-12.4618599,130.8437372,58.61,65.1,47.4
AUS-44,historical,1995,0822,-13.0260483,132.887212,74.12,82.9,67.11
AUS-44,historical,1995,0828,-12.4282549,130.9395854,55.87,67.3,43.15
AUS-44,historical,1995,0829,-12.4492207,131.0018472,55.87,67.3,43.15
AUS-44,historical,1995,0830,-12.3870718,131.0404165,71.16,80.9,61.12
AUS-44,historical,1995,0832,-12.5126911,130.9968258,77.43,88.8,67.98
AUS-44,historical,1995,0834,-12.5468428,131.0235087,99,110.3,92.8
AUS-44,historical,1995,0835,-12.4715578,131.0619515,77.43,88.8,67.98
AUS-44,historical,1995,0836,-12.5602925,131.1310347,77.43,88.8,67.98
AUS-44,historical,1995,0837,-12.7544942,131.1503128,99,110.3,92.8
AUS-44,historical,1995,0838,-12.7188249,131.0069737,99,110.3,92.8
AUS-44,historical,1995,0839,-12.5199814,131.0401759,99,110.3,92.8
AUS-44,historical,1995,0840,-12.7328528,130.443408,58.61,65.1,47.4
AUS-44,historical,1995,0841,-12.8192879,130.9697535,78.8,87.7,70.1
AUS-44,historical,1995,0845,-13.0897042,131.0573723,121.22,134.1,112.15
AUS-44,historical,1995,0846,-13.1678493,131.1558003,121.22,134.1,112.15
AUS-44,historical,1995,0847,-13.8235594,131.8262011,119.32,130.95,109.35
AUS-44,historical,1995,0850,-14.440684,132.271074,125.41,136.03,118.94
AUS-44,historical,1995,0852,-16.82029,132.8112626,152.62,163.03,147.18
AUS-44,historical,1995,0853,-14.5312127,132.379278,138.52,151.4,131.12
AUS-44,historical,1995,0854,-16.070328,136.308667,109.3,116.65,102.6
AUS-44,historical,1995,0860,-19.6547857,134.1870765,142.65,150.9,139.75
AUS-44,historical,1995,0862,-18.0759794,135.8358942,151.97,163.47,146.09
AUS-44,historical,1995,0870,-23.7156006,133.8303408,92.62,96.65,89.25
AUS-44,historical,1995,0872,-23.6805973,131.2723216,123.58,129.63,118.96
AUS-44,historical,1995,0873,-23.7757792,133.8551121,92.62,96.65,89.25
AUS-44,historical,1995,0874,-23.6716528,133.8886827,92.62,96.65,89.25
AUS-44,historical,1995,0875,-23.6968734,133.8333387,92.62,96.65,89.25
AUS-44,historical,1995,0880,-12.2462823,136.6461037,6.72,13.1,3
