file_scenario,file_period,geo_name,ensmean,ensmax,ensmin
historical,1995,0800,58.61,65.1,47.4
historical,1995,0822,74.12,82.9,67.11
historical,1995,0828,55.87,67.3,43.15
historical,1995,0829,55.87,67.3,43.15
historical,1995,0830,71.16,80.9,61.12
historical,1995,0832,77.43,88.8,67.98
historical,1995,0834,99,110.3,92.8
historical,1995,0835,77.43,88.8,67.98
historical,1995,0836,77.43,88.8,67.98
historical,1995,0837,99,110.3,92.8
historical,1995,0838,99,110.3,92.8
historical,1995,0839,99,110.3,92.8
historical,1995,0840,58.61,65.1,47.4
historical,1995,0841,78.8,87.7,70.1
historical,1995,0845,121.22,134.1,112.15
historical,1995,0846,121.22,134.1,112.15
historical,1995,0847,119.32,130.95,109.35
historical,1995,0850,125.41,136.03,118.94
historical,1995,0852,152.62,163.03,147.18
historical,1995,0853,138.52,151.4,131.12
historical,1995,0854,109.3,116.65,102.6
historical,1995,0860,142.65,150.9,139.75
historical,1995,0862,151.97,163.47,146.09
historical,1995,0870,92.62,96.65,89.25
historical,1995,0872,126.03,132.37,121.05
historical,1995,0873,92.62,96.65,89.25
historical,1995,0874,92.62,96.65,89.25
historical,1995,0875,92.62,96.65,89.25
historical,1995,0880,6.72,13.1,3
historical,1995,0886,110.75,120.8,101.7
historical,1995,2115,6.59,7.96,5.53
historical,1995,2116,7.15,8.7,6.12
historical,1995,2117,6.68,7.95,5.65
historical,1995,2118,6.68,7.95,5.65
historical,1995,2119,6.68,7.95,5.65
historical,1995,2120,6.8,8.16,5.74
historical,1995,2121,6.68,7.95,5.65
historical,1995,2125,7.22,8.55,6.25
historical,1995,2126,7.02,8.43,5.97
historical,1995,2127,6.5,7.98,5.4
historical,1995,2128,7.09,8.85,6
historical,1995,2135,6.5,7.98,5.4
historical,1995,2140,6.5,7.98,5.4
historical,1995,2141,7.09,8.85,6
historical,1995,2142,7.09,8.85,6
historical,1995,2143,6.67,8.23,5.53
historical,1995,2144,7.09,8.85,6
historical,1995,2145,8.02,9.75,6.77
historical,1995,2146,8.1,9.8,6.75
historical,1995,2147,8.1,9.8,6.75
historical,1995,2148,8.89,10.8,7.42
historical,1995,2150,7.15,8.7,6.12
historical,1995,2151,7.22,8.55,6.25
historical,1995,2152,7.22,8.55,6.25
historical,1995,2153,8.57,10.28,7.21
historical,1995,2154,7.27,8.58,6.28
historical,1995,2155,8.57,10.28,7.21
historical,1995,2156,9.1,10.69,7.78
historical,1995,2157,8.25,9.59,7.04
historical,1995,2158,6.95,8.27,5.9
historical,1995,2159,6.65,7.86,5.63
historical,1995,2160,7.94,9.7,6.8
historical,1995,2161,7.94,9.7,6.8
historical,1995,2162,7.09,8.85,6
historical,1995,2163,7.38,9,6.22
historical,1995,2164,7.94,9.7,6.8
historical,1995,2165,7.94,9.7,6.8
historical,1995,2166,7.44,9.06,6.27
historical,1995,2167,7.63,9.25,6.45
historical,1995,2168,8.83,10.6,7.49
historical,1995,2170,7.82,9.45,6.56
historical,1995,2171,8.83,10.6,7.49
historical,1995,2172,6.26,7.6,5.05
historical,1995,2173,5.52,6.56,4.57
historical,1995,2174,8.47,10.12,7.07
historical,1995,2175,9.19,11.08,7.9
historical,1995,2176,9.19,11.08,7.9
historical,1995,2177,8.21,9.9,7.02
historical,1995,2178,9.44,11.3,7.95
historical,1995,2179,9.05,10.92,7.67
historical,1995,2190,6.07,7.4,5
historical,1995,2195,5.65,6.83,4.6
historical,1995,2196,5.65,6.83,4.6
historical,1995,2197,6.67,8.23,5.53
historical,1995,2198,6.67,8.23,5.53
historical,1995,2199,6.67,8.23,5.53
historical,1995,2200,6.26,7.6,5.05
historical,1995,2209,5.65,6.83,4.6
historical,1995,2210,5.45,6.6,4.28
historical,1995,2211,6.26,7.6,5.05
historical,1995,2212,6.26,7.6,5.05
historical,1995,2213,6.26,7.6,5.05
historical,1995,2214,6.26,7.6,5.05
historical,1995,2223,5.33,6.45,4.19
historical,1995,2225,5.02,6.08,3.78
historical,1995,2226,5.02,6.08,3.78
historical,1995,2232,4.41,5.26,3.31
historical,1995,2233,4.37,5.17,3.37
historical,1995,2234,6.01,7.33,4.82
historical,1995,2250,4.3,5.06,3.43
historical,1995,2251,4,4.71,2.97
historical,1995,2258,3.69,4.41,2.75
historical,1995,2259,3.83,4.57,2.99
historical,1995,2260,3.75,4.47,2.65
historical,1995,2261,3.88,4.62,2.8
historical,1995,2262,4.28,4.92,3.32
historical,1995,2263,4.06,4.85,2.8
historical,1995,2264,5.16,5.96,4.38
historical,1995,2265,5.11,5.94,4.4
historical,1995,2267,6.39,7.4,5.6
historical,1995,2278,8.15,9.42,7.13
historical,1995,2280,4.85,5.55,4.25
historical,1995,2282,5.77,6.8,4.92
historical,1995,2283,6.72,7.87,5.87
historical,1995,2284,6.7,8.05,5.6
historical,1995,2285,6.33,7.4,5.4
historical,1995,2286,7.97,9.21,6.94
historical,1995,2287,6.55,7.71,5.57
historical,1995,2289,4.85,5.55,4.25
historical,1995,2290,5.77,6.8,4.92
historical,1995,2291,4.85,5.55,4.25
historical,1995,2292,6.02,7.1,5.17
historical,1995,2293,6.02,7.1,5.17
historical,1995,2294,5.89,6.93,5.1
historical,1995,2295,5.62,6.6,4.95
historical,1995,2296,6.02,7.1,5.17
historical,1995,2297,6.02,7.1,5.17
historical,1995,2298,6.02,7.1,5.17
historical,1995,2299,6.02,7.1,5.17
historical,1995,2300,4.85,5.55,4.25
historical,1995,2302,4.85,5.55,4.25
historical,1995,2303,4.85,5.55,4.25
historical,1995,2304,6.4,7.62,5.52
historical,1995,2305,4.85,5.55,4.25
historical,1995,2306,4.85,5.55,4.25
historical,1995,2307,7.19,8.65,6.1
historical,1995,2308,7.19,8.65,6.1
historical,1995,2311,4.25,5.23,3.42
historical,1995,2312,4.02,5.24,3.12
historical,1995,2316,4.8,5.78,3.97
historical,1995,2317,4.36,5.3,3.52
historical,1995,2318,6.43,7.53,5.51
historical,1995,2319,5.28,6.28,4.42
historical,1995,2320,12.96,14.97,11.21
historical,1995,2321,11.12,12.86,9.61
historical,1995,2322,8.62,9.94,7.43
historical,1995,2323,9.61,11.1,8.32
historical,1995,2324,7.15,8.37,6.08
historical,1995,2325,8.35,9.61,7.03
historical,1995,2326,14.41,16.7,12.54
historical,1995,2327,12.94,14.88,11.27
historical,1995,2328,12.1,13.75,10.45
historical,1995,2329,10.16,11.55,8.74
historical,1995,2330,10.84,12.37,9.29
historical,1995,2331,16.47,18.96,14.35
historical,1995,2333,15.24,17.35,13.27
historical,1995,2334,16.98,19.8,14.85
historical,1995,2335,15.15,17.48,13.26
historical,1995,2336,10.11,11.64,8.64
historical,1995,2337,6.21,7.33,5.21
historical,1995,2338,4.07,5.03,3.22
historical,1995,2339,7.82,9.09,6.51
historical,1995,2340,8.33,10.13,7.02
historical,1995,2341,13.65,15.92,11.73
historical,1995,2342,14.78,17.42,12.78
historical,1995,2343,12.09,13.9,10.33
historical,1995,2344,11.32,13.88,9.57
historical,1995,2345,10.98,13.38,9.33
historical,1995,2346,9.95,12.06,8.3
historical,1995,2347,10.62,12.55,9.16
historical,1995,2350,0.99,1.48,0.64
historical,1995,2352,4.87,6.18,3.85
historical,1995,2353,5.85,7.32,4.66
historical,1995,2354,0.85,1.33,0.54
historical,1995,2355,3.33,4.23,2.53
