POA_NAME21,SAL_NAME21
0800,Darwin City
0800,Larrakeyah
0800,Stuart Park
0800,The Gardens (NT)
0810,Alawa
0810,Anula
0810,Brinkin
0810,Buffalo Creek
0810,Casuarina (NT)
0810,Coconut Grove
0810,Eaton (NT)
0810,Jingili
0810,Leanyer
0810,Lee Point
0810,Ludmilla
0810,Lyons (NT)
0810,Marrara
0810,Millner
0810,Moil
0810,Muirhead
0810,Nakara
0810,Nightcliff
0810,Rapid Creek
0810,Tiwi
0810,Wagaman
0810,Wanguri
0810,Wulagi
0812,Anula
0812,Berrimah
0812,Buffalo Creek
0812,Eaton (NT)
0812,Holmes
0812,Jingili
0812,Karama
0812,Knuckey Lagoon
0812,Leanyer
0812,Lee Point
0812,Lyons (NT)
0812,Malak
0812,Marrara
0812,Micket Creek
0812,Millner
0812,Moil
0812,Muirhead
0812,Wagaman
0812,Wanguri
0812,Wulagi
0820,Bayview (NT)
0820,Berrimah
0820,Charles Darwin
0820,Coconut Grove
0820,Coonawarra (NT)
0820,Darwin City
0820,East Point
0820,Eaton (NT)
0820,Fannie Bay
0820,Hidden Valley (NT)
0820,Larrakeyah
0820,Ludmilla
0820,Marrara
0820,Millner
0820,Parap
0820,Stuart Park
0820,The Gardens (NT)
0820,The Narrows (NT)
0820,Winnellie
0820,Woolner
0822,Acacia Hills (NT)
0822,Adelaide River
0822,Alyangula
0822,Angurugu
0822,Anindilyakwa
0822,Archer
0822,Batchelor
0822,Bayview (NT)
0822,Bees Creek
0822,Belyuen
0822,Berrimah
0822,Berry Springs
0822,Black Jungle
0822,Blackmore
0822,Bradshaw
0822,Buffalo Creek
0822,Burrundie
0822,Bynoe
0822,Bynoe Harbour
0822,Camp Creek (NT)
0822,Channel Island
0822,Charles Darwin
0822,Charlotte
0822,Claravale
0822,Cobourg
0822,Collett Creek
0822,Coolalinga
0822,Coomalie Creek
0822,Coonawarra (NT)
0822,Cox Peninsula
0822,Daly
0822,Daly River
0822,Darwin River
0822,Darwin River Dam
0822,Delamere (NT)
0822,Douglas-Daly
0822,Dundee Beach
0822,Dundee Downs
0822,Dundee Forest
0822,Durack (NT)
0822,East Arm
0822,East Arnhem
0822,Edith (NT)
0822,Elrundie
0822,Eva Valley
0822,Finniss Valley
0822,Florina
0822,Fly Creek
0822,Flying Fox (NT)
0822,Freds Pass
0822,Galiwinku
0822,Gapuwiyak
0822,Girraween (NT)
0822,Glyde Point
0822,Gulung Mardrulk
0822,Gunbalanya
0822,Gunn Point
0822,Herbert
0822,Hidden Valley (NT)
0822,Holmes
0822,Hotham
0822,Howard Springs
0822,Hughes (NT)
0822,Humpty Doo
0822,Jabiru
0822,Kakadu
0822,Knuckey Lagoon
0822,Koolpinyah
0822,Lake Bennett
0822,Lambells Lagoon
0822,Litchfield Park
0822,Livingstone
0822,Lloyd Creek
0822,Mandorah
0822,Maningrida
0822,Manton (NT)
0822,Maranunga
0822,Margaret River (NT)
0822,Marlow Lagoon
0822,Marrakai
0822,McMinns Lagoon
0822,Micket Creek
0822,Middle Point
0822,Milikapiti
0822,Milingimbi
0822,Milyakburra
0822,Minjilang
0822,Mitchell (NT)
0822,Mount Bundey
0822,Murrumujuk
0822,Nauiyu
0822,Nemarluk
0822,Nganmarriyanga
0822,Nhulunbuy
0822,Nitmiluk
0822,Noonamah
0822,Numbulwar
0822,Numburindi
0822,Peppimenarti
0822,Pine Creek (NT)
0822,Pinelands (NT)
0822,Pirlangimpi
0822,Point Stuart
0822,Rakula
0822,Ramingining
0822,Robin Falls
0822,Rum Jungle
0822,Shoal Bay (NT)
0822,Southport (NT)
0822,Stapleton
0822,Thamarrurr
0822,Tipperary (NT)
0822,Tivendale
0822,Tiwi Islands
0822,Tortilla Flats
0822,Tumbling Waters
0822,Umbakumba
0822,Van Diemen Gulf
0822,Vernon Islands
0822,Virginia (NT)
0822,Wadeye
0822,Wagait Beach
0822,Wak Wak
0822,Warruwi
0822,Weddell
0822,West Arnhem
0822,Wickham (NT)
0822,Wilton (NT)
0822,Winnellie
0822,Wishart (NT)
0822,Wurrumiyanga
0822,Yirrkala
0828,Berrimah
0828,Coonawarra (NT)
0828,East Arm
0828,Eaton (NT)
0828,Hidden Valley (NT)
0828,Holmes
0828,Holtze
0828,Karama
0828,Knuckey Lagoon
0828,Marrara
0828,Micket Creek
0828,Pinelands (NT)
0828,Shoal Bay (NT)
0828,Winnellie
0828,Wishart (NT)
0829,Berrimah
0829,Durack (NT)
0829,Farrar
0829,Holtze
0829,Howard Springs
0829,Johnston
0829,Knuckey Lagoon
0829,Pinelands (NT)
0829,Shoal Bay (NT)
0829,Tivendale
0829,Wishart (NT)
0829,Yarrawonga (NT)
0830,Archer
0830,Bakewell
0830,Bellamack
0830,Driver
0830,Durack (NT)
0830,Elrundie
0830,Farrar
0830,Gray (NT)
0830,Gunn
0830,Holtze
0830,Howard Springs
0830,Johnston
0830,Knuckey Lagoon
0830,Koolpinyah
0830,Marlow Lagoon
0830,Micket Creek
0830,Mitchell (NT)
0830,Moulden
0830,Murrumujuk
0830,Palmerston City
0830,Pinelands (NT)
0830,Rosebery (NT)
0830,Shoal Bay (NT)
0830,Tivendale
0830,Weddell
